Tweet,Reply
 Listen to this one also , Shit!
 , Shit
"For someone with FAME and a PROMISING CAREER, Greenwood should've known better.", Seems it is fake cause media is silent
Mason Greenwood has doomed his promising career💀, What has he done?
Mason Greenwood has doomed his promising career💀,What a shame.
TBT when Miss Mandii humiliated rapper Smallz Lethal Live on Capital FM. One of the saddest shits I've ever seen. T… ,  Hii ni njaa n ushamba. As per employment laws she needs to get sacked for soliciting bribes.
Coming to you live from the Garden of Joy Open Day.📍 Machakos#GardenOfJoyOpenDay  ,It’s a full house! Investors really turned up at the Garden of Joy… and our experienced team of real experts never disappoint! #GardenOfJoyOpenDay 
"Lastly, we have clients who are already setting up their homes at the Garden of Joy.#GardenOfJoyOpenDay ",Today's Garden of Joy Open Day will be an opportunity to showcase all these features.Interested in this project? We are always on standby at 0790 300 300#GardenOfJoyOpenDay  
"What’s more, we have Ready Title Deeds for each plot!  #GardenOfJoyOpenDay ","Lastly, we have clients who are already setting up their homes at the Garden of Joy.#GardenOfJoyOpenDay "
"Garden of Joy has access to internal roads on the project, a water tower, trees planted around the project, well fe… ","What’s more, we have Ready Title Deeds for each plot!  #GardenOfJoyOpenDay "
"For starters, Garden of Joy in Machakos is a gated community with multiple value additions. The 1.2 KM entry from t… ","Garden of Joy has access to internal roads on the project, a water tower, trees planted around the project, well fenced, solar street lighting and the main gate is fully done.  #GardenOfJoyOpenDay "
Land is an ever appreciating asset. Owning one has become easier than ever you can ever imagine. Thanks to… ,  Note that Garden of Joy in Machakos is an all inclusive community development located at the heart of Machakos#GardenOfJoyOpenDay
Land is an ever appreciating asset. Owning one has become easier than ever you can ever imagine. Thanks to… ,  Contact Optiven through the number 0790 300 300 #GardenOfJoyOptiven 
Land is an ever appreciating asset. Owning one has become easier than ever you can ever imagine. Thanks to… ,  Visit garden of joy machakos today for a Free open day.#GardenOfJoyOpenDay
Land is an ever appreciating asset. Owning one has become easier than ever you can ever imagine. Thanks to… ,  Those clients who made bookings are heading to Garden of Joy machakos.. #GardenOfJoyOpenDay
Land is an ever appreciating asset. Owning one has become easier than ever you can ever imagine. Thanks to… ,  Optiven has offered number of opportunities and this the best time to invest #GardenOfJoyOpenDay
Land is an ever appreciating asset. Owning one has become easier than ever you can ever imagine. Thanks to… ,  Call 0723 400 500 and begin your investment journey with  value added plots that will ensure you enjoy your realtor experience #GardenOfJoyOpenDay
Land is an ever appreciating asset. Owning one has become easier than ever you can ever imagine. Thanks to… ,  Here at Machakos is more than usual don't miss out #GardenOfJoyOpenDay
Land is an ever appreciating asset. Owning one has become easier than ever you can ever imagine. Thanks to… ,  Chose   and start your investment journey as you get value for your money at affordable prices
Land is an ever appreciating asset. Owning one has become easier than ever you can ever imagine. Thanks to… ,  So much great things will be happening today#GardenOfJoyOpenDay
Land is an ever appreciating asset. Owning one has become easier than ever you can ever imagine. Thanks to… ,"  Twendeni Garden of Joy Machakos,  Call 0790 300 300 for more information #GardenOfJoyOpenDay "
Land is an ever appreciating asset. Owning one has become easier than ever you can ever imagine. Thanks to… ,  Thousands of trees across the entire project and a Trees &amp; flowers nursery to transform the garden to a place of great natural joy #GardenOfJoyOpenDay 
''Value-added''. You have probably heard this word many times now. What does it really mean? What makes a project v… ,"  Some of the value ads offered at Garden of Joy include a caretaker on site, a nice access gate and free House designs and cost estimates#GardenOfJoyOpenDay"
''Value-added''. You have probably heard this word many times now. What does it really mean? What makes a project v… ,  Note that it is an ideal place to build a home for you and your family thus you should not miss out#GardenOfJoyOpenDay
''Value-added''. You have probably heard this word many times now. What does it really mean? What makes a project v… ,  Today is the day visit garden of joy now..  #GardenOfJoyOpenDay
''Value-added''. You have probably heard this word many times now. What does it really mean? What makes a project v… ,  #GardenOfJoyOpenDay has well distinct features that creates a beautiful scenery including the breathtaking Mua hills and give you value for your money
''Value-added''. You have probably heard this word many times now. What does it really mean? What makes a project v… ,  This is amazing insights of what this Land property has to offer#GardenOfJoyOpenDay
''Value-added''. You have probably heard this word many times now. What does it really mean? What makes a project v… ,  Come and enjoy the property tour as you get to view the continous property value additions on going #GardenOfJoyOpenDay
''Value-added''. You have probably heard this word many times now. What does it really mean? What makes a project v… ,  Optiven community has build up the best connection that suports the dreams of many#GardenOfJoyOpenDay
''Value-added''. You have probably heard this word many times now. What does it really mean? What makes a project v… ,  Book a plot by calling 0790 300 300 for more information at Garden of Joy Machakos #GardenOfJoyOpenDay 
''Value-added''. You have probably heard this word many times now. What does it really mean? What makes a project v… ,  We are are the state of change and investment and this is the start #GardenOfJoyOpenDay
''Value-added''. You have probably heard this word many times now. What does it really mean? What makes a project v… ,  With already prepared titles all you have to do is invest and get value for your money visit garden of joy machakos today  #GardenOfJoyOpenDay
''Value-added''. You have probably heard this word many times now. What does it really mean? What makes a project v… ,"  Truly, Garden of Joy is a homely ambience stirs a relaxed, friendly, joyful feeling, great for a comfortable and convenient lifestyle #GardenOfJoyOpenDay "
"How much does it cost to have a piece of land at the Garden of Joy? Residential plots start from Ksh 1,495,000 whi… ",The best time to get yourself a plot at the Garden of Joy is TODAY! Take advantage of the open day and start your investment journey. At  we believe anyone can be a landowner. #GardenOfJoyOpenDay 
"How much does it cost to have a piece of land at the Garden of Joy? Residential plots start from Ksh 1,495,000 whi… ","Good News for those who will be attending today’s open day.There will be an ON-GROUND offer! For more info, call 0790 300 300.#GardenOfJoyOpenDay  "
Here is a sneak peek of the Garden of Joy for those who won’t make it to today’s open day.  ,"How much does it cost to have a piece of land at the Garden of Joy? Residential plots start from Ksh 1,495,000 while commercial plots are selling from Ksh 1,695,000. You can pay a deposit of Ksh 500,000 and finish the balance in 12 Months. #GardenOfJoyOpenDay "
"The secure gated community comes with READY TITLE DEEDS and house designs. As an industry leader, we strive very h… ",Here is a sneak peek of the Garden of Joy for those who won’t make it to today’s open day. #GardenOfJoyOpenDay 
Accessibility.The internal murram roads at the Garden of Joy are fully paved. #GardenOfJoyOpenDay ,"The secure gated community comes with READY TITLE DEEDS and house designs. As an industry leader, we strive very hard to make sure that title deeds are issued on time, with no hidden charges, free plot visits and on top of that, we offer free property advice!#GardenOfJoyOpenDay "
Life on earth cannot survive without water. We’ve ensured that there is water on-site at the Garden of Joy. The pro… ,Accessibility.The internal murram roads at the Garden of Joy are fully paved. #GardenOfJoyOpenDay 
The Garden of Joy also enjoys access to electricity as part of the super value additions.#GardenOfJoyOpenDay ,"Life on earth cannot survive without water. We’ve ensured that there is water on-site at the Garden of Joy. The project has a 20,000-litre water tower to facilitate joyous living!#GardenOfJoyOpenDay "
We have also installed SOLAR STREET LIGHTS at the Garden of Joy as part of our long-term GOING GREEN initiative.… ,The Garden of Joy also enjoys access to electricity as part of the super value additions.#GardenOfJoyOpenDay 
"In line with   GOING GREEN INITIATIVE, we’ve planted thousands of trees across the entire project.… ",We have also installed SOLAR STREET LIGHTS at the Garden of Joy as part of our long-term GOING GREEN initiative. #GardenOfJoyOpenDay 
Location matters a lot when buying land. The all-inclusive community development is located at the heart of Machak… ,"In line with   GOING GREEN INITIATIVE, we’ve planted thousands of trees across the entire project. We also have a Trees &amp; flowers nursery to transform the Garden of Joy into a place of great natural joy!#GardenOfJoyOpenDay "
''Value-added''. You have probably heard this word many times now. What does it really mean? What makes a project v… ,"Location matters a lot when buying land. The all-inclusive community development is located at the heart of Machakos County, 1.3km off the tarmac, 7 minutes drive from Koma Town. #GardenOfJoyOpenDay "
-Free Transport to the Garden of Joy Open Day in  Machakos ✅ -Free Lunch ✅ Time : 7: 30 amPick up place:  Absa T… ,You might leave tomorrow's Garden of Joy Open Day as a property owner...you never know. Just show up 😎PS: There will be an ON-GROUND OFFER. Call  on 0790 300 300 to book your space.#TwendeGardenOfJoy 
"2. As part of our GOING GREEN INITIATIVE, we’ve planted thousands of trees across the entire project. We also have… ",  Call on 0790 300 300 to book your space because you cannot afford to miss this #TwendeGardenOfJoy 
"2. As part of our GOING GREEN INITIATIVE, we’ve planted thousands of trees across the entire project. We also have… ",  Call  0723 400 500 to make your bookings today ahead of the Garden of Joy opening day with amaizing features #TwendeGardenOfJoy
We always encourage prospective buyers to attend open days because it is an opportunity to learn more about a speci… ,There will be a lot of Nyama Choma at the Garden of Joy Open day. It's just more than investment 😁#TwendeGardenOfJoy 
"2. As part of our GOING GREEN INITIATIVE, we’ve planted thousands of trees across the entire project. We also have… ","  Garden Of Joy in Machakos has an Open Day tomorrow. Have you booked a slot? If not book a space, call 0790 300 300.#TwendeGardenOfJoy "
"2. As part of our GOING GREEN INITIATIVE, we’ve planted thousands of trees across the entire project. We also have… ",  Optiven have also been advocates of taking care of the environment#TwendeGardenOfJoy 
Incase you missed it!! Still availableSize 40__45Asking at 3800Delivery services availableJoho Kiambaa Ida Od… , Size 38
Incase you missed it!! Still availableSize 40__45Asking at 3800Delivery services availableJoho Kiambaa Ida Od… , Do you have a shop in town?
Don't miss these Salomon40__45Retailing at 3700Countrywide deliveryIda Odinga Thighland #SafaricomVsKenyans J… ," Black one, no.41"
Don't miss these Salomon40__45Retailing at 3700Countrywide deliveryIda Odinga Thighland #SafaricomVsKenyans J… , Ziko how can I get them
Incase you missed it!! Still availableSize 40__45Asking at 3800Delivery services availableJoho Kiambaa Ida Od… , The maroon one is lit
