Tweet,Reply
"mzee Raila looks feeble and fragile he looks longing to reach home and rest, will make it to august 9th? "," Those supporting him are crossing their fingers that i just crosses August, there after; they wish he can go to hell"
"we are not sure but certainly he will deal with covid thieves including you, which is why your stomach is full of b… ", *be
"we are not sure but certainly he will deal with covid thieves including you, which is why your stomach is full of b… ", A beneficiary of kemsa theft is here pretending to angel maria 😂😂😂😂hizo pesa mtazitabika hivi karibuni
YOU he could not transport even watu wa kibra? , Ndio wanarudi🤣 
matiangi tell us  how to get tokens from kplc   we have bought  and no body is responding from customer care or els… , Manzeee hawaleti
you think ALICE  is your mothers age mate sometimes you have run short of ideas untill you now vomitting helter - s… , You mean Alice Wahome is younger than you?
you think ALICE  is your mothers age mate sometimes you have run short of ideas untill you now vomitting helter - s… , 🤣🤣🤣🤣🤣🤣🤣🤣🤣
21 days notice by uhuru to deal with covid thieves including you. , 
THIS man is born  funny he will never accept anything he will even refuse to die when his times comes. , I will not surprised.
  Ni doktari kutoka beringo ya keti,  Mwanivunja mbavu jamani🤣
 Kalale ndugu, Utawezana
  Natemebeya Pole sana transnzoia iko locked na ,    Iko locked to  #TeamFresh #kijanaaatatusort
        ,         Kabisa
        ,          Na wale wanategemea rigging pekee?...
        ,         Hapa WhatsApp group ni add add tupu🤣
         ,           Jumping the queue has consequences ... Kitheka has never even tweeted baba agenda... Only solar selling...  should change the invite for someone useful..😅
         ,           Akutane na MCA kwanza ama Kananu😅
 isia buloo waku...niwathandanua flat , 😂😂😂
  Tutamrudishia akiwa miyumbe,   What?...
GOOD NTE FELLOW HUSTLERS....KESHO NI SIKU , Mpesa imeingia usisimue bottom up
  Learn how to run your house such matters are beyond your scope;respectfully 😁😁😁,   Ongeza polume broh
    Tinga would be the greatest beneficiary of the deductio… ,    you need to attend a political class. If Ruto supported Raila do you think Kalonzo angekuwa kwa NASA?
    You never voted for him na mlimuita mtoto wa mbwa so what makes you defend him!?,     Didi u see his vote utaacha ujinga mkale hii
    You never voted for him na mlimuita mtoto wa mbwa so what makes you defend him!?,    Now we want to vote
  Learn how to run your house such matters are beyond your scope;respectfully 😁😁😁,  No problem sir
  We're not in court Doktari 😅😅😅Don't waste your lies here!!,"  Because you want to make a meaning out of this brief life, I advise you not to be quick to hijack any ongoing conversation because you have some internet data and functional keyboard to type on your handset. I work in Turkana and I know what am talking about."
 As you post your impeccable beauty make sure you outline a beautiful objective also for the betterm… , Thank you for saying nothing.
 You people had nothing to do with the formation of the current government you're just freeloaders… , Muliiba kura tukaiba Rais. Who is laughing now?
That ended up in  's !!It will guarantee him another 5 years of intense drinking before he runs ban… ,"  Hahahaa, they will find a way to fix Ruto in this."
The only recognizable project is the Raila Project!! , Benjamin please buy me lunch today
 Don't talk about me 😂😂😂,"  Hello friend,  don't site back without trying this FOREX or BINARY TRADE,  you can stand a chance of earning 3 to 4 times double your capital in just a season of investing in the crypto market.. ask questions, i will spare some time to put you through... hit my DM if Interested"
  Huyu inakaa ako in the future 😂😂😂😂,  😂😂😂
 , Yeeeeee
 Preach sister preach, 😊😊😊😊😊😊
 Kwani raila is the reason behind that😂😂😂😂😂,  😂😂😂😂
 , 😌😌
 , 🤣🤣🤣🤣🤣🤣🤣🤣
 , 😂😂
  ,  
 They (enemies) just can't reach us cause the power of prayer is actually very strong, True
 He only fail in burundi and rwanda😂😂😂😂, Sijui alikuwa South Africa bado Egypt
 😂😂😂ameshaexplore uganda kenya sasa amerudi Tz tena😂😂😂, 🤣🤣🤣🤣🤣🤣🤣🤣🤣
 ,  Follow back
  Inaitwa round aah swing kick alaaa! 😂😂🤌,  Nipe kura on my pinned tweet 🔥👌
  Hii ni food ya richkids jamaa😂😂,  Sawa  😂😂😂💔
  :si unipeeThe piece of shit: , 😂😂😂
 Wacha bwanaaaa😂😂😂, 😂😂
Uyu comrade aliiba waiting chairs😂😂😂🤌 , 😂😂
  😂😂😂😂🙌,  😂😂
Don't make her come if you can't make her cum💯, Hah
 Sasa watu hawaezi fanana na amani😂😂😂, Wewe tulia🤣🤣🤣
" Vic has done the thing, 😂😂😂😂💔", Exactly what is required 😂😂💀
 , Relax
 State Project.A continuation of Uhuru's failed policies.Entrenching and expanding Dynasties.,  Ruto says he is better placed to continue with the jubilee project's because they started them with Uhuru. So Ruto is whose PROJECT? Wacha kusumbua watu go elect your Barnabas on 9/8. Sisi tuko na BABA.
 True.RAO will protect and defend the Old Order.Ata fuata Nyayo za Uhuru.,"  And ruto will start stealing spree, whats the difference, we better retain the latter than employ new thieves."
 Nominate a Black Woman.,  Why not an Indian woman? Something against other qualified women?
 ...opting to continue with extraction (land grab;raiding Ministry accs;etc) and growing rich together… , Get your facts right. Kenyatta was elected and so was his son. Even int the US presidents and sons have ruled. Well they may not be poor but that does not make them dynasties. They have earned their money. Just as you have earned yours.
 DeePee was right.Uhuru is Dynasty.Kenyatta Clan see themselves as Dynasty., In what sense is he?
  Exactly.Meddling in our elections by the Elite is causing problems and feeding into ins… ,  Let them meddle and pay back what they have meddled from him😂😂
 Because they are.Elections r not abt the President or his power apparatus.Elections r abt The People.,  The last election which was about the people was in 2002
"  Read up on yr history.Land grabbing is the Original Sin.It disrupted social grps,forci… ",  No doubt but the crashes in R. V were about elections and not land. Was any land dispute solved?
  Land clashes speak to a deeper land problem.That started with Wazungu Land grabbers.Th… ,  Which one single woman or common mwananchi is known to have grabbed land? Kiambaa burnt women and children.
 Exactly!The Mountain is plagued by Bigotry and Chauvanism.Its toxic.That is why we support DeePee… ,"  Kiambaa 2007,  Molo 1988, 1992, 1997, We know the toxic and murderous but we don't say."
 They dont read the 2010Const., Exactly.  This is illegal.
 Where is yours 🤣😂, Tinkumanya 😜
 🤣 🤣 Haha, Eeeh 😅
 Finally 😂🤣, Yes😂😂
 You 😄, 😂
 Dare, I dare you to use your picture as your avi
 Na mimi 😄, Na ww 😒
 Things are changing 💯, Very first.
    Nimerundi hadi tufikishe ruto state house 😂  sindio?,    Kabisaaaa👊👊👊👊
  How? 🤣,  😂😂😂 yes
    Nimerundi hadi tufikishe ruto state house 😂  sindio?,    Karibu
     alinifukuza 🤣😂,      ulimfukuza?🤣🤣🤣🙄
Mmmmh!!.Ngirichi Salivating to Catch DP'S eye..😅😅 , Haiya
Mmmmh!!.Ngirichi Salivating to Catch DP'S eye..😅😅 , 🤣🤣🤣
 Imagine even he didn't Blink when ropoka ropokaring...☹," Whenever violence occurs, we must put them in the Frontline. When the followers are teargassed and clobbered senseless, these things' children are studying abroad. With the taxpayers money!"
ODM for you..🤗🤗 , Tragedy is when a brainless has a loose tongue.
 😴😴😴.l.. , 😳😳😳😳
" Ayekhaa,.Hawa Watatumalisa Kapisa..Kucha twende Canaan. 😅😅", 🤣🏃🏿‍♂️🏃🏿‍♂️
ODM for you..🤗🤗 , 😆🤣🤣🦁
Ihura Stadium was Empty....i had SABINA Chege and Peter Keneth Pleading to Wananchi outside the stadium to Come ins… ," If it was empty, why was ruto soo anxious and couldn't concentrate on his campaigns.. "
Ihura Stadium was Empty....i had SABINA Chege and Peter Keneth Pleading to Wananchi outside the stadium to Come ins… , Raila only needs 20% of Mt Kenya votes..the rest ruto can get if lucky but ruto won't win the elections...
Ihura Stadium was Empty....i had SABINA Chege and Peter Keneth Pleading to Wananchi outside the stadium to Come ins… , We understand  a front view and a back view.Can not be fooled.Ihura stadium was attended  to capacity.Azimio is sailing through.
Ihura Stadium was Empty....i had SABINA Chege and Peter Keneth Pleading to Wananchi outside the stadium to Come ins… ," #REJECT_RUTOWe cant allow a renown land grabber, Taxpayers funds looter to be our CEO.Arror and Kimwarer is rotting in cold water."
The person who advised Azimio to postpone their Murang'a rally from Wednesday to Saturday when William Ruto will be… , 
When you hear the song Sipangwingwi just know team Hustler Nation is around. Yesterday  alikuwa mtaa Camp… ,  Mshapangwa na trio and you think hutapangwa
The person who advised Azimio to postpone their Murang'a rally from Wednesday to Saturday when William Ruto will be… ," Boss you are sleeping POLITICALLY RAILA only needs 30% of CENTRAL ,HE  is doing above evarage. YOUR BARNABAS will cry kwa choo"
The person who advised Azimio to postpone their Murang'a rally from Wednesday to Saturday when William Ruto will be… , Flexing who has more poor people.
When you hear the song Sipangwingwi just know team Hustler Nation is around. Yesterday  alikuwa mtaa Camp… ,  Ground ni noma everyone have to be creative when  approaching wanaichi
The person who advised Azimio to postpone their Murang'a rally from Wednesday to Saturday when William Ruto will be… , No problem....UDA is not a team who can change kenya....we need azimio la umoja....we are ready to support raila odinga
When you hear the song Sipangwingwi just know team Hustler Nation is around. Yesterday  alikuwa mtaa Camp… ,  He will join us soon. He knows that very well.
Kalonzo and his team (OKA in General) want to force a run off.I've heard 3 Wiper Mps Shamelessly say that.Too bad f… ," Their 5% cannot creat a room for run off, they better join the winning alliance, Kenya Kwanza."
  🎶🎶 Uliingia na Sipangwingwi..... Yesterday uliwezaa Sanaa.,   You people are pretending that you have not seen the colors Kalonzo is using in his campaignsFace with tears of joy. That man was bewitched to support Raila till eternity. Mudavadi today revealed that the two OKA were Raila spies trying to convince him to join Azimio
